postcode;n;longitude;latitude
1338;276;5.281214299999999;52.3847421
1339;265;5.296517;52.3947359
1343;25;5.306264;52.3409213
1349;10;5.334567400000001;52.3316433
1351;67;5.2211402;52.3500501
1352;55;5.2116153;52.3438011
1353;177;5.2101188;52.3358645
1354;114;5.2172366;52.3382178
1355;87;5.2314778;52.34292319999999
1356;81;5.2409094;52.33983749999999
1357;121;5.2327849;52.3321953
1358;24;5.2815502;52.3340259
1359;45;5.1860498;52.3409248
1361;5;5.1453745;52.3373686
1363;36;5.1483313;52.3532452
1381;150;5.0752974;52.30040349999999
1382;265;5.034838199999999;52.3154645
1383;131;5.0507624;52.2934588
1391;228;4.9490723;52.2631244
1393;42;5.0281006;52.2784358
1394;145;5.054367099999999;52.25866389999999
1396;45;4.9922568;52.2453247
1398;106;5.0811284;52.3321481
1399;101;5.1084093;52.3176382
1401;165;5.1727538;52.27884969999999
1402;282;5.1745708;52.2707753
1403;275;5.176881499999999;52.2653446
1404;138;5.162357999999999;52.2766397
1405;120;5.1524581;52.2770721
1406;126;5.1513993;52.2624625
1411;280;5.167712499999999;52.2963957
1412;173;5.126130499999999;52.287546
1421;144;4.8210356;52.240457
1422;324;4.8299261;52.2440878
1423;150;4.8149669;52.2340482
1424;120;4.785927099999999;52.2378914
1426;21;4.8112895;52.212902
1427;28;4.8388529;52.23373729999999
1428;4;4.7850891;52.213967
1431;294;4.735323000000001;52.2505822
1432;201;4.7932523;52.28020739999999
1433;196;4.7494346;52.2367024
1435;124;4.6960232;52.2521515
1436;18;4.7403584;52.2703546
1437;12;4.7304683;52.2800744
1438;11;4.7833671;52.28993329999999
1441;345;4.9550027;52.50036679999999
1442;179;4.9659138;52.5146124
1443;174;4.9715908;52.5090271
1444;168;4.9654491;52.52131600000001
1445;214;4.9881531;52.4989741
1446;117;5.008102699999999;52.5168451
1447;256;4.975815;52.4861298
1448;252;4.9341712;52.4958915
1451;10;4.9209227;52.4777366
1452;48;4.958749099999999;52.46546980000001
1454;14;4.9634374;52.4358911
1456;40;4.883089099999999;52.48999269999999
1458;4;4.832258299999999;52.5384415
1461;76;4.9171281;52.5313549
1462;129;4.9209143;52.5525932
1463;18;4.9209065;52.59005149999999
1464;21;4.867840900000001;52.55478710000001
1471;20;4.9806343;52.531374
1472;21;5.0214387;52.5349987
1473;18;5.040471600000001;52.54756339999999
1474;92;4.989231;52.5604346
1475;16;4.971238899999999;52.5906259
1476;4;5.0130813;52.59956889999999
1477;4;4.990152;52.5470203
1481;5;5.022283799999999;52.50287669999999
1482;5;5.0004082;52.4744038
1483;111;4.8441673;52.5530832
1484;23;4.8166609;52.5675798
1485;2;4.8448286;52.5711125
1486;20;4.799204700000001;52.5535767
1487;5;4.818153500000001;52.54745819999999
1488;9;4.7864609;52.5474064
1489;6;4.7628296;52.545685
1501;181;4.8322084;52.4373198
